"REF_DATE","GEO","DGUID","Principal statistics","Seasonal adjustment","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","47780237","","","","0"
"2016-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","47563620","","","","0"
"2016-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","52007033","","","","0"
"2016-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","49366905","","","","0"
"2016-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","51998652","","","","0"
"2016-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","53983797","","","","0"
"2016-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","47516581","","","","0"
"2016-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","53399510","","","","0"
"2016-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","53346870","","","","0"
"2016-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","51821981","","","","0"
"2016-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","53796047","","","","0"
"2016-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Unadjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800025","1.1.1.1","50841981","","","","0"
"2016-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Manufacturing [31-33]","Dollars","81","thousands","3","v800450","1.1.2.1","52462665","","","","0"
