"Manufacturers' sales, inventories, orders and inventory to sales ratios, by industry (dollars unless otherwise noted)" 1 2 3
"Monthly"
"Table: 16-10-0047-01 (formerly CANSIM 304-0014)"
"Geography: Canada"

"","","Manufacturing  [31-33]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"","","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Principal statistics","Seasonal adjustment","January 2016","February 2016","March 2016","April 2016","May 2016","June 2016","July 2016","August 2016","September 2016","October 2016","November 2016","December 2016","January 2017","February 2017","March 2017","April 2017","May 2017","June 2017","July 2017","August 2017","September 2017","October 2017","November 2017","December 2017","January 2018","February 2018","March 2018","April 2018","May 2018","June 2018","July 2018","August 2018","September 2018","October 2018","November 2018","December 2018","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019"
"","","Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sales of goods manufactured (shipments)","Unadjusted  (x 1,000)","47,780,237","47,563,620","52,007,033","49,366,905","51,998,652","53,983,797","47,516,581","53,399,510","53,346,870","51,821,981","53,796,047","50,841,981","50,108,971","48,976,219","57,230,292","51,628,958","58,611,167","57,616,638","49,952,925","56,130,113","55,050,848","55,228,843","57,654,427","52,059,894","52,258,490","51,266,820","58,596,188","55,147,747","60,995,258","60,622,423","56,143,835","60,255,617","57,977,768","60,736,392","58,674,272","52,553,076","53,928,704","51,327,564","59,498,193","57,457,788","63,435,959","59,263,403","55,741,699","58,803,096"
,"Seasonally adjusted  (x 1,000)","52,462,665","50,082,726","49,437,838","50,360,628","49,902,515","50,509,094","50,810,840","51,289,495","51,442,888","51,461,227","52,197,160","53,466,139","53,735,647","53,598,962","53,601,036","54,300,872","54,964,041","53,843,758","52,743,861","53,685,353","54,020,908","53,901,449","55,913,001","55,940,389","54,947,347","56,313,064","56,843,448","56,014,628","57,192,223","57,977,129","58,247,787","57,870,340","58,091,025","58,259,601","57,104,958","56,366,335","56,782,659","56,659,607","58,177,643","57,779,136","58,739,774","57,860,619","57,124,605","57,577,683"
"New orders, estimated values of orders received during month","Unadjusted  (x 1,000)","49,201,410","45,618,258","49,498,072","49,845,743","52,468,034","55,709,285","47,192,272","52,024,361","52,779,001","52,319,387","53,434,595","49,203,894","50,535,566","49,704,595","58,415,459","53,159,360","57,504,395","55,431,993","48,290,440","56,143,016","53,542,691","57,093,952","57,109,294","51,234,741","51,821,060","54,200,209","59,279,468","56,537,131","64,023,115","61,362,514","56,179,129","60,602,400","57,473,426","61,780,933","59,033,483","59,638,632","53,278,230","51,645,993","59,547,291","57,794,693","64,147,338","57,628,205","53,481,625","59,433,657"
,"Seasonally adjusted  (x 1,000)","53,368,374","48,004,247","46,976,115","50,730,158","50,186,555","52,370,708","50,525,468","50,066,324","51,259,715","52,235,479","51,848,183","51,706,529","53,616,794","54,214,960","54,881,137","55,690,087","53,604,215","51,859,512","51,142,415","53,870,133","52,930,766","56,020,122","55,381,422","54,926,930","53,958,201","59,166,177","57,636,611","57,215,111","59,959,927","58,939,690","58,361,418","58,397,916","58,030,708","59,530,279","57,531,524","63,214,073","55,546,884","56,843,096","58,313,097","57,848,505","59,391,691","56,524,284","54,984,274","58,336,054"
"Unfilled orders, estimated values of orders at end of month","Unadjusted  (x 1,000)","91,476,073","89,530,712","87,021,751","87,500,589","87,969,971","89,695,460","89,371,150","87,996,001","87,428,133","87,925,538","87,564,086","85,926,000","86,352,595","87,080,971","88,266,137","89,796,539","88,689,768","86,505,123","84,842,637","84,855,541","83,347,383","85,212,492","84,667,359","83,842,206","83,404,776","86,338,165","87,021,444","88,410,828","91,438,685","92,178,777","92,214,071","92,560,853","92,056,512","93,101,053","93,460,264","100,545,821","99,895,347","100,213,777","100,262,875","100,599,780","101,311,159","99,675,961","97,415,887","98,046,448"
,"Seasonally adjusted  (x 1,000)","91,412,680","89,334,201","86,872,478","87,242,008","87,526,048","89,387,662","89,102,290","87,879,120","87,695,947","88,470,199","88,121,222","86,361,612","86,242,759","86,858,757","88,138,858","89,528,073","88,168,246","86,184,000","84,582,555","84,767,335","83,677,192","85,795,864","85,264,286","84,250,826","83,261,680","86,114,793","86,907,957","88,108,440","90,876,144","91,838,705","91,952,336","92,479,911","92,419,595","93,690,273","94,116,839","100,964,577","99,728,801","99,912,290","100,047,744","100,117,114","100,769,031","99,432,696","97,292,365","98,050,736"
